index to extract,derived Rh (nm),normalized intensity (0-1),normalized intensity (0-1) corrected,intensity weighted average Rh (nm),intensity weighted average over log(Rh (nm))
62.0,"[15.12, 24.03, 29.82, 31.72, 34.8, 39.37, 43.19, 48.87, 51.98, 55.29, 64.51, 80.07, 93.43]","[1.02, 1.02, 1.02, 1.36, 1.65, 1.96, 1.9, 1.64, 1.48, 1.15, 1.03, 1.03, 1.03]","[0.         0.         0.         0.36170213 0.67021277 1.
 0.93617021 0.65957447 0.4893617  0.13829787 0.0106383  0.0106383
 0.0106383 ]",42.55627791563276,41.962032041657096
63.0,"[3.43, 4.918, 7.051, 10.108, 14.492, 21.351, 25.23, 26.48, 26.885, 29.974, 31.789, 38.787, 41.135, 43.78, 52.573, 77.0, 110.393, 158.268, 226.9, 325.303, 466.395, 668.663, 958.61, 1374.304, 1970.328, 2824.804, 4097.279, 4901.682, 6091.49, 8623.346, 10780.813, 15508.485, 22234.534, 31875.952, 45699.664, 65518.185, 93929.264, 134665.588, 193066.296, 276786.272, 371665.556]","[0.016, 0.016, 0.015, 0.016, 0.016, 0.033, 0.066, 0.235, 0.464, 0.724, 0.886, 0.683, 0.474, 0.276, 0.023, 0.016, 0.016, 0.015, 0.016, 0.016, 0.015, 0.015, 0.015, 0.016, 0.016, 0.016, 0.068, 0.239, 0.396, 0.315, 0.089, 0.016, 0.015, 0.016, 0.016, 0.016, 0.017, 0.016, 0.016, 0.017, 0.017]","[0.00114811 0.00114811 0.         0.00114811 0.00114811 0.0206659
 0.05855339 0.25258324 0.51549943 0.81400689 1.         0.76693456
 0.52698048 0.29965557 0.00918485 0.00114811 0.00114811 0.
 0.00114811 0.00114811 0.         0.         0.         0.00114811
 0.00114811 0.00114811 0.0608496  0.25717566 0.43742824 0.34443169
 0.08495982 0.00114811 0.         0.00114811 0.00114811 0.00114811
 0.00229621 0.00114811 0.00114811 0.00229621 0.00229621]",1913.1805795764315,106.68096772648238
64.0,"[21.028, 36.875, 42.328, 46.862, 53.621, 57.285, 62.255, 65.532, 74.127, 106.282, 152.365, 218.439, 313.177, 448.999, 643.672, 922.88, 1323.055, 1896.893, 2719.724, 3898.768, 5589.969, 8013.866, 11497.725, 13991.713, 14336.552, 17356.307, 24043.205, 28617.524, 35955.24, 51824.684, 74298.575, 106525.484, 152690.14, 218913.008, 313874.307, 449946.107, 645186.848, 811356.199]","[0.023, 0.024, 0.276, 0.543, 0.848, 0.66, 0.396, 0.167, -0.002, 0.0, -0.001, -0.001, -0.001, -0.001, -0.002, -0.001, -0.002, -0.001, 0.001, -0.002, 0.0, -0.001, 0.015, 0.011, 0.224, 0.424, 0.389, 0.178, 0.001, -0.001, -0.001, 0.0, -0.005, -0.004, -0.002, -0.005, -0.001, -0.002]","[0.03282532 0.03399766 0.32942556 0.64243845 1.         0.77960141
 0.47010551 0.20164127 0.003517   0.00586166 0.00468933 0.00468933
 0.00468933 0.00468933 0.003517   0.00468933 0.003517   0.00468933
 0.007034   0.003517   0.00586166 0.00468933 0.02344666 0.01875733
 0.26846424 0.50293083 0.46189918 0.21453693 0.007034   0.00468933
 0.00468933 0.00586166 0.         0.00117233 0.003517   0.
 0.00468933 0.003517  ]",7750.523335486848,328.66042138311747
65.0,"[9.6, 14.48, 18.31, 21.21, 26.05, 27.63, 30.17, 34.94, 38.16, 41.68, 45.52, 54.29, 66.68]","[0.02, -0.02, 0.19, 0.3, 0.64, 0.81, 0.98, 0.66, 0.48, 0.25, 0.06, 0.02, 0.0]",[0.04 0.   0.21 0.32 0.66 0.83 1.   0.68 0.5  0.27 0.08 0.04 0.02],30.656301075268825,29.80540803671857
66.0,"[10.18, 13.65, 17.78, 20.6, 23.16, 25.3, 26.83, 30.17, 31.07, 34.94, 38.16, 40.47, 44.2, 51.19, 68.66, 84.34]","[1.0, 1.0, 1.0, 1.03, 1.23, 1.45, 1.66, 1.89, 1.98, 1.69, 1.45, 1.27, 1.06, 1.0, 0.98, 0.98]","[0.02 0.02 0.02 0.05 0.25 0.47 0.68 0.91 1.   0.71 0.47 0.29 0.08 0.02
 0.   0.  ]",31.13246492985972,30.623577128272903
67.0,"[9.6, 13.65, 20.0, 24.56, 28.45, 32.0, 45.52, 52.72, 66.68, 94.85, 134.93]","[2.0, 1.98, 2.03, 2.52, 2.8, 2.95, 2.77, 2.42, 2.02, 2.02, 1.97]","[0.03061224 0.01020408 0.06122449 0.56122449 0.84693878 1.
 0.81632653 0.45918367 0.05102041 0.05102041 0.        ]",36.305118110236215,34.45527938540609
68.0,"[13.65, 21.84, 30.17, 35.99, 41.68, 44.2, 49.71, 52.72, 59.29, 64.75, 79.53, 94.85]","[2.97, 2.97, 3.0, 3.45, 3.72, 3.89, 3.7, 3.48, 3.2, 3.0, 2.98, 2.97]","[0.         0.         0.0326087  0.52173913 0.81521739 1.
 0.79347826 0.55434783 0.25       0.0326087  0.01086957 0.        ]",45.97677506775068,45.493368069433025
69.0,"[20.686, 30.717, 35.474, 39.119, 51.223, 52.176, 67.768, 70.767, 82.727, 90.522, 97.359, 113.306, 159.588, 351.1, 699.326, 1275.075, 2372.867, 4917.829, 9401.016, 12678.526, 14620.486, 17301.083, 20349.739, 26900.186, 32308.135, 40701.242, 51235.245, 72560.911, 123457.992, 196929.081]","[-0.041, -0.044, 0.148, 0.352, 0.613, 0.735, 0.978, 0.749, 0.553, 0.425, 0.276, 0.077, -0.084, -0.046, -0.091, -0.066, -0.083, -0.078, -0.083, -0.09, 0.037, 0.148, 0.254, 0.252, 0.141, 0.057, -0.046, -0.086, -0.086, -0.097]","[0.05209302 0.04930233 0.22790698 0.41767442 0.66046512 0.77395349
 1.         0.78697674 0.60465116 0.4855814  0.34697674 0.16186047
 0.01209302 0.04744186 0.0055814  0.02883721 0.01302326 0.01767442
 0.01302326 0.00651163 0.12465116 0.22790698 0.32651163 0.32465116
 0.22139535 0.14325581 0.04744186 0.01023256 0.01023256 0.        ]",5500.349923867779,223.45676446833644
70.0,"[2.27, 6.698, 20.7, 23.094, 28.387, 34.159, 42.315, 70.141, 1399.504, 4226.433, 7453.112, 8624.11, 10187.132, 13405.182, 15126.563, 23738.57, 38407.46, 78511.824]","[0.0, 0.0, 0.0, 0.312, 0.571, 0.312, -0.013, 0.0, 0.0, 0.0, 0.091, 0.506, 0.948, 0.468, 0.156, 0.013, 0.039, 0.026]","[0.01352758 0.01352758 0.01352758 0.33818939 0.60770031 0.33818939
 0.         0.01352758 0.01352758 0.01352758 0.1082206  0.54006243
 1.         0.50052029 0.17585848 0.02705515 0.0541103  0.04058273]",8143.905019383021,1349.9887192966912
71.0,"[14.49, 19.85, 23.23, 26.35, 30.84, 36.09, 46.42, 54.32, 67.7, 89.86, 111.99]","[-0.01, -0.01, 0.25, 0.57, 0.91, 0.77, 0.4, 0.19, 0.01, -0.03, -0.03]","[0.0212766  0.0212766  0.29787234 0.63829787 1.         0.85106383
 0.45744681 0.23404255 0.04255319 0.         0.        ]",34.47217910447761,33.328060654989
